match_date,year,tournament,stage,team_a,team_b,gf_avg_a,ga_avg_a,xgf_avg_a,xga_avg_a,points_avg_a,matches_played_a,gf_avg_b,ga_avg_b,xgf_avg_b,xga_avg_b,points_avg_b,matches_played_b,gf_diff,ga_diff,xgf_diff,xga_diff,form_diff,experience_diff,goals_a,goals_b,xg_a,xg_b
2022-11-26,2022,FIFA World Cup,Group stage,Argentina,Mexico,1.4,2.2,1.4200000000000002,1.3199999999999998,0.8,5,0.6,1.2,1.2,1.6599999999999997,1.4,5,0.7999999999999999,-1.0000000000000002,0.2200000000000002,0.33999999999999986,-0.5999999999999999,0,2,0,0.3,0.3
2022-11-26,2022,FIFA World Cup,Group stage,France,Denmark,3.0,1.2,1.9,0.74,3.0,8,0.6,0.4,0.86,1.36,1.4,5,2.4,-0.7999999999999999,1.04,0.6200000000000001,1.6,3,2,1,2.4,0.6
2022-11-26,2022,FIFA World Cup,Group stage,Poland,Saudi Arabia,0.5,1.25,1.05,1.125,1.0,4,1.0,2.0,0.8,1.6,1.5,4,-0.5,0.75,0.25,0.4750000000000001,-0.5,0,2,0,1.6,1.7
2022-11-26,2022,FIFA World Cup,Group stage,Tunisia,Australia,1.25,2.0,1.2750000000000001,2.5,1.0,4,0.75,2.25,0.9249999999999999,1.5750000000000002,0.25,4,0.5,0.25,0.3500000000000002,-0.9249999999999998,0.75,0,0,1,0.9,0.6
2022-11-27,2022,FIFA World Cup,Group stage,Spain,Germany,2.8,1.2,2.3400000000000003,0.82,1.8,5,0.75,1.5,2.15,1.35,0.75,4,2.05,0.30000000000000004,0.1900000000000004,0.5300000000000001,1.05,1,1,1,0.6,1.3
2022-11-27,2022,FIFA World Cup,Group stage,Croatia,Canada,1.4,1.6,1.5,0.8,1.2,8,0.0,1.0,2.4,0.8,0.0,1,1.4,-0.6000000000000001,-0.8999999999999999,0.0,1.2,7,4,1,2.6,0.4
2022-11-27,2022,FIFA World Cup,Group stage,Belgium,Morocco,1.6,0.8,1.1400000000000001,1.72,2.4,8,0.5,1.0,0.7999999999999999,1.4,0.5,4,1.1,0.19999999999999996,0.3400000000000002,-0.32000000000000006,1.9,4,0,2,1.0,1.5
2022-11-27,2022,FIFA World Cup,Group stage,Japan,Costa Rica,1.6,1.6,1.16,1.8800000000000001,1.4,5,0.5,3.0,0.625,2.1,0.25,4,1.1,1.4,0.5349999999999999,0.21999999999999997,1.15,1,0,1,0.9,0.1
2022-11-28,2022,FIFA World Cup,Group stage,Korea Republic,Ghana,0.75,0.75,0.875,1.8749999999999998,1.0,4,2.0,3.0,0.9,2.0,0.0,1,-1.25,2.25,-0.025000000000000022,0.12500000000000022,1.0,3,2,3,1.8,1.6
2022-11-28,2022,FIFA World Cup,Group stage,Cameroon,Serbia,0.0,1.0,0.7,1.4,0.0,1,0.5,1.5,0.8500000000000001,1.7000000000000002,0.75,4,-0.5,0.5,-0.15000000000000013,0.30000000000000027,-0.75,-3,3,3,2.2,1.9
2022-11-28,2022,FIFA World Cup,Group stage,Portugal,Uruguay,1.8,1.6,1.34,1.08,1.6,5,1.2,0.6,1.2399999999999998,0.5,2.0,6,0.6000000000000001,-1.0,0.10000000000000031,-0.5800000000000001,-0.3999999999999999,-1,2,0,1.3,1.3
2022-11-28,2022,FIFA World Cup,Group stage,Brazil,Switzerland,1.8,0.4,2.38,0.4600000000000001,2.4,6,1.2,1.0,1.3,1.44,1.6,5,0.6000000000000001,0.6,1.0799999999999998,0.9799999999999999,0.7999999999999998,1,1,0,1.0,0.3
2022-11-29,2022,FIFA World Cup,Group stage,Wales,England,0.5,1.5,1.2,1.1,0.5,2,1.8,1.2,1.1,1.14,1.4,9,-1.3,-0.30000000000000004,0.09999999999999987,0.039999999999999813,-0.8999999999999999,-7,0,3,0.3,2.4
2022-11-29,2022,FIFA World Cup,Group stage,IR Iran,United States,1.2,1.6,1.1800000000000002,1.3800000000000001,1.4,5,0.5,0.5,0.7,1.15,1.0,2,0.7,-1.1,0.4800000000000002,-0.2300000000000002,0.3999999999999999,3,0,1,0.4,1.2
2022-11-29,2022,FIFA World Cup,Group stage,Netherlands,Qatar,1.5,0.5,0.39999999999999997,1.3,2.0,2,0.5,2.5,0.65,1.0,0.0,2,1.0,2.0,-0.25000000000000006,-0.30000000000000004,2.0,0,2,0,1.6,0.1
2022-11-29,2022,FIFA World Cup,Group stage,Ecuador,Senegal,1.5,0.5,1.45,0.2,2.0,2,1.4,1.4,0.9199999999999999,0.74,1.4,5,0.10000000000000009,0.8999999999999999,0.53,0.54,0.6000000000000001,-3,1,2,0.9,2.1
